pertanyaan,jawaban
Versi SLURM berapa yang terpasang di sistem ALELEON saat ini?,"Selamat siang! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Saya sangat senang dapat membantu Anda mengenai informasi spesifikasi sistem kami.

Berdasarkan dokumen referensi, versi Slurm yang terpasang di ALELEON Supercomputer saat ini adalah **Slurm 25.05.7**. Versi ini merupakan *custom compiled* yang disesuaikan khusus dengan arsitektur ALELEON Supercomputer.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan atau spesifikasi ALELEon?"
Bagaimana cara membatalkan/menghentikan job yang berstatus PENDING di terminal?,"Selamat pagi! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami siap membantu Anda.

Untuk membatalkan atau menghentikan job yang berstatus **PENDING** di terminal, silakan ikuti langkah-langkah berikut:

1.  Jalankan perintah `squeue -lu $USER` untuk melihat daftar job dan mencari nomor ID job yang memiliki status PENDING.
2.  Gunakan perintah `scancel` diikuti dengan nomor ID job tersebut untuk membatalkannya. Sebagai contoh, jika ID job adalah 231, jalankan perintah:
    `$ scancel 231`

Apakah ada hal lain yang ingin Anda tanyakan mengenai penggunaan sistem?"
Berapa kapasitas limit storage HOME untuk akun perseorangan?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda mengenai pertanyaan kapasitas penyimpanan HOME.

Berdasarkan dokumen referensi, kapasitas storage HOME untuk golongan perseorangan adalah **150 GiB**.

Berikut adalah detail lengkapnya:
1. Golongan perseorangan mendapatkan alokasi storage sebesar 150 GiB.
2. Bagi golongan perseorangan, memantau penggunaan storage menjadi tanggung jawab user dengan cara menjalankan perintah `sausage ncdu`.
3. Job komputasi akan putus atau tidak dapat berjalan apabila storage HOME penuh.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan ALELEON?"
Apakah sistem ALELEON memiliki backup jika saya tidak sengaja menghapus data di HOME?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami siap membantu Anda.

Berdasarkan dokumen referensi yang tersedia, tidak ada informasi mengenai mekanisme backup otomatis atau sistem pemulihan data jika user secara tidak sengaja menghapus data di direktori HOME. Dokumen hanya menyebutkan bahwa bagi golongan perseorangan, memantau penggunaan storage menjadi tanggung jawab user dan merekomendasikan melakukan proses download (backup) data secara manual menggunakan aplikasi SFTP sebelum terjadi kehilangan data.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan ALELEON?"
Email resmi apa yang harus saya hubungi jika ingin submit support ticket?,"Selamat pagi dan terima kasih telah menghubungi layanan dukungan teknis HPC Aleleon Supercomputer, kami siap membantu Anda.

Berdasarkan informasi yang tersedia di sistem, jika Anda ingin mengajukan tiket dukungan (support ticket), langkah utamanya adalah melalui portal web, bukan langsung ke email. Namun, jika Anda mengalami kendala untuk login ke portal tersebut atau membutuhkan alternatif komunikasi, Anda dapat mengirimkan email resmi ke **support@efisonlt.com**.

Berikut adalah prosedur lengkapnya:
1. Login ke [EFIRO Web Service] atau [aleleonsuper.computer].
2. Buka menu Help (?) > Submit Support Ticket.
3. Jika tidak dapat login ke EWS, kirim email ke support@efisonlt.com.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan sistem?"
"Saya mau menjalankan simulasi GROMACS, apa nama binary MPI yang dipakai? Apakah gmx atau yang lain?","Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, saya sangat senang dapat membantu Anda dalam menjalankan simulasi GROMACS.

Berdasarkan dokumentasi sistem, binary MPI yang harus digunakan untuk menjalankan simulasi di ALELEON adalah **gmx_mpi**, bukan `gmx`. Hal ini dikarenakan GROMACS diinstal dengan MPI (untuk komputasi multi-node CPU - GPU), sehingga pengguna wajib menyesuaikan script mereka untuk memanggil binary tersebut.

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi atau perintah lainnya?"
"Di EFIRO Account Manager, aplikasi authenticator apa saja yang didukung untuk fitur 2FA?","Selamat siang! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda mengenai konfigurasi Two-factor Authentication (2FA) di EFIRO Account Manager.

Berdasarkan panduan sistem, aplikasi mobile yang didukung untuk fitur 2FA meliputi:
1. Microsoft Authenticator
2. Google Authenticator
3. FreeOTP

Jika Anda belum memiliki salah satu aplikasi tersebut, silakan instal salah satu dari ketiga opsi di perangkat mobile Anda sebelum melanjutkan proses pengaturan. Apakah ada hal lain yang ingin Anda tanyakan?"
Apa perintah terminal untuk mengecek status antrian job saya di Slurm?,"Selamat pagi dan terima kasih banyak telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami sangat senang dapat membantu Anda!

Untuk mengecek status antrian job Anda di Slurm, silakan gunakan perintah terminal berikut:
1. $ squeue -ul $USER

Perintah ini akan menampilkan daftar status job (ST / STATE) Anda, seperti PD (PENDING) untuk job yang mengantri, R (RUN) untuk job yang sedang berjalan, atau tidak ada di squeue jika job sudah selesai.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan Slurm?"
Apakah ALELEON mendukung instalasi package Python menggunakan pip?,"Halo! Terima kasih banyak telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami sangat senang dapat membantu Anda.

Ya, ALELEON mendukung instalasi package Python menggunakan `pip`. Berdasarkan panduan sistem, proses ini dapat dilakukan setelah mengaktifkan environment (baik virtualenv maupun conda env) dengan perintah berikut:

1. Buka terminal ALELEON melalui Login SSH atau menu Clusters > Aleleon Shell Access di EFIRO Web Service.
2. Aktifkan environment yang diinginkan menggunakan modul pyl user dengan perintah `$ pyl load [nama-modul]`.
3. Jika ingin menggunakan environment tersebut di sesi JupyterLab [EWS], jalankan perintah: `(env) $ pip install jupyter notebook`.
4. Untuk instalasi package Python lainnya sesuai kebutuhan, gunakan perintah `pip` atau `conda` yang didukung oleh sistem.

Apakah ada hal lain yang ingin Anda tanyakan mengenai penggunaan environment Python di ALELEON?"
Modul Lmod apa yang harus saya load jika ingin menggunakan compiler GCC versi 15.2.0?,"Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, saya sangat senang dapat membantu Anda.

Berdasarkan katalog software yang tersedia, berikut adalah nama modul Lmod untuk compiler GCC versi 15.2.0:
1. gcc/15.2.0-gcc-13.4.0-pnb

Untuk memuat compiler tersebut ke dalam terminal atau script submit job, silakan gunakan perintah berikut:
1. ml gcc/15.2.0-gcc-13.4.0-pnb

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi compiler atau software lainnya?"
"Saya ingin buka sesi interaktif JupyterLab menggunakan GPU. Apa bedanya partisi torti dan tilla, dan mana yang harus saya pilih?","Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda dalam memulai sesi interaktif JupyterLab dengan akses GPU.

Berdasarkan dokumen referensi, berikut adalah perbedaan dan panduan pemilihan partisi untuk kebutuhan Anda:

1.  **Partisi torti**: Digunakan untuk **interactive node CPU** saja (tanpa GPU).
2.  **Partisi tilla**: Digunakan untuk **interactive node GPU**.

Karena Anda ingin membuka sesi menggunakan GPU, Anda harus memilih partisi **tilla**.

Berikut adalah detail konfigurasi yang perlu Anda perhatikan saat mengisi formulir di menu **Interactive Apps > Jupyter** atau aplikasi terkait:

1.  Pada bagian **Partition**, pilih **tilla**.
2.  Pada bagian **Number of GPUs**, isi angka **1**.
3.  Perhatikan bahwa untuk akun uji coba (TRIAL A6), alokasi maksimal GPU dibatasi hanya **1 unit**.
4.  Jika Anda menggunakan environment conda bernama 'tensor', Anda tidak perlu memuat modul CUDA secara manual karena sudah tersedia di dalamnya. Namun, jika membutuhkan modul CUDA lain, silakan isikan nama modulnya pada kolom **Software modules**.

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi sesi Jupyter atau penggunaan sumber daya lainnya?"
Saya punya file simulasi.ipynb. Bagaimana urutan langkah menjalankannya sebagai batch job di Job Composer EWS menggunakan conda environment saya sendiri?,"Halo! Selamat datang di layanan dukungan HPC Aleleon Supercomputer, terima kasih telah menghubungi kami untuk bantuan terkait batch job Anda. Kami sangat senang dapat membantu Anda menjalankan simulasi menggunakan Conda Environment melalui Job Composer EWS.

Berdasarkan panduan ""Komputasi Python dengan Conda Environment User"", berikut adalah urutan langkah lengkap untuk menjalankan file `simulasi.ipynb` Anda:

1.  Login ke [ EFIRO Web Service ], buka menu **Jobs > Job Composer**.
2.  Buat ruang job baru dengan memilih menu **New Jobs > From Template**.
3.  Pilih template sesuai kebutuhan komputasi Anda, yaitu salah satu dari opsi berikut:
    *   **Python User (CPU - Multi Core Standar)** jika berjalan di CPU.
    *   **Python User (GPU - Multi Core Standar)** jika berjalan dengan akselerasi GPU.
    *   **Python User (CPU - Multi Threading)** atau **Python User (CPU - Multi Threading) (GPU)** jika Anda ingin mendefinisikan sendiri threading (seperti OpenMP/OpenBLAS).
4.  Isi kolom **Job Name** (bebas) dan klik tombol **[Create New Job]**.
5.  Siapkan file komputasi via menu **[Edit Files]**. Karena Batch job hanya menjalankan file Python `.py`, Anda harus mengonversi file Notebook terlebih dahulu:
    *   Buka **[Open Terminal]**.
    *   Jalankan perintah konversi: `jupytext --to py simulasi.ipynb`. Perintah ini akan menghasilkan file `simulasi.py`.
6.  Lakukan pengecekan kelengkapan environment Conda Anda:
    *   Buka **[Open Terminal]**.
    *   Aktifkan modul pyl user yang akan digunakan dengan perintah: `pyl load nama-modul`.
    *   Lakukan pengecekan file Python dengan perintah: `pycheck simulasi.py`.
    *   Perhatikan outputnya:
        *   Jika muncul **READY TO GO!**, berarti file siap dijalankan.
        *   Jika muncul **MISSING PACKAGE!**, instal package yang kurang sesuai panduan output (contoh: `$ pip install --user pyusb`).
7.  Isi kolom **submit script** untuk menulis alur jalannya job:
    *   Klik **[Open Editor]**.
    *   Ikuti petunjuk **NOTES** dan alur script yang tersedia di dalamnya.
    *   Klik **[Save]** untuk menyimpan script.
8.  Jalankan job dengan menekan tombol **[Submit]**.
9.  Pantau status dan output job dengan melakukan **Refresh halaman Job Composer**:
    *   Lihat hasil di kolom **Folder Contents** (akan ada file `result-jobID.txt` untuk output terminal dan `error-jobID.txt` untuk log status).
    *   Untuk memantau penggunaan resource secara detail, buka **[Open Terminal]** lalu jalankan perintah `sausage`.

Apakah ada hal lain yang ingin Anda tanyakan mengenai konfigurasi batch job atau lingkungan kerja lainnya?"
Jelaskan perbedaan arti status job 'PD' dan 'CG' saat saya mengecek squeue. Lalu sebutkan satu contoh Reason kenapa job bisa berstatus PD!,"Selamat pagi! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami sangat senang dapat membantu Anda.

Berdasarkan dokumen referensi sistem, berikut adalah penjelasan mengenai perbedaan status job dan contoh alasannya:

1.  **Perbedaan Status Job:**
    *   **PD (PENDING):** Menunjukkan bahwa job sedang tertahan atau mengantri dan belum berjalan.
    *   **CG (COMPLETING):** Menunjukkan bahwa job sudah selesai melakukan komputasi namun masih dalam proses pembersihan (*clean-up*).

2.  **Contoh Alasan Job Berstatus PD:**
    Untuk mengetahui alasan spesifik mengapa job tertahan pada status PD, Anda perlu melihat kolom **NODELIST(REASON)** saat menjalankan perintah `squeue`. Dokumen menyebutkan bahwa jika job tertahan, pengguna harus melihat informasi di bagian tersebut untuk mengetahui penyebabnya.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan Slurm?"
"Sebagai pengguna dari Akun Institusi, apakah job saya dibatasi maksimal 128 core CPU seperti akun perseorangan, dan apakah saya menggunakan sistem kuota (beli di awal)?","Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, kami siap membantu Anda.

Berdasarkan dokumen referensi yang tersedia, berikut adalah jawaban untuk pertanyaan Anda mengenai Akun Institusi:

1.  **Limitasi CPU:** Tidak, job Anda **tidak dibatasi maksimal 128 core CPU** seperti akun perseorangan. Untuk Akun Institusi, limitasi maksimal alokasi CPU ditentukan sesuai dengan **PKSPIAS** (Perjanjian Kerja Sama Pengguna Institusi ALELEON Supercomputer) yang ditandatangani antara institusi Anda dan EFISON.
2.  **Sistem Kuota:** Tidak, Akun Institusi tidak selalu menggunakan sistem kuota beli di awal (pra-bayar). Terdapat opsi penggunaan khusus untuk golongan institusi yaitu **Pascabayar Bulanan**, di mana tidak ada Kuota Core Hour melainkan dilakukan penghitungan konsumsi Core Hour bulanan sesuai ketentuan kerja sama.

Apakah ada hal lain yang ingin Anda tanyakan terkait alokasi komputasi atau prosedur pendaftaran?"
"Saya mau ganti password akun ALELEON saya. Di portal web mana saya harus login, dan menu apa yang harus diklik?","Selamat pagi dan terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer! Kami sangat senang dapat membantu Anda dalam mengelola akun ALELEON.

Untuk mengganti password akun ALELEON, Anda perlu melakukan langkah-langkah berikut sesuai panduan sistem:

1.  Buka **EFIRO Account Manager (EAM)** di alamat **[https://login.efisonlt.com]**.
2.  Login menggunakan kredensial user ALELEON Anda saat ini.
3.  Setelah login, Anda dapat melakukan manajemen akun seperti mengganti email, password, atau 2FA melalui fitur tersebut.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan ALELEON?"
"File upload saya ukurannya 500 MB. Kenapa saya selalu gagal upload lewat menu Files di EWS, dan apa solusi spesifik serta alamat host yang harus saya gunakan?","Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Kami sangat senang dapat membantu Anda mengatasi kendala upload file tersebut.

Berdasarkan informasi yang tersedia di sistem, kegagalan Anda terjadi karena terdapat **limit upload 100MB per file** pada menu [Upload] di aplikasi EWS (baik di Job Composer maupun Direktori HOME). Karena ukuran file Anda adalah **500 MB**, file tersebut melebihi batas maksimal yang diperbolehkan untuk upload langsung melalui web interface.

Solusi spesifik yang harus Anda lakukan adalah menggunakan **aplikasi SFTP** untuk mengunggah file berukuran lebih dari 100MB. Berikut adalah langkah-langkah dan detail koneksi yang diperlukan:

1. Aktifkan koneksi OVPN ALELEON terlebih dahulu.
2. Login ke aplikasi SFTP (seperti FileZilla, WinSCP, atau bawaan MobaXTerm) menggunakan kredensial akun user Anda dengan pengaturan berikut:
   - **Hostname**: Gunakan `aleleon.hpc` untuk pengguna Windows/MacOS, atau `19.192.50.10` untuk pengguna Linux.
   - **Port**: `22` (default).
3. Setelah berhasil login, arahkan aplikasi SFTP ke direktori tujuan (misalnya direktori Job Composer atau HOME) dan lakukan proses upload file sebesar 500 MB tersebut.

Apakah ada hal lain yang ingin ditanyakan mengenai penggunaan SFTP atau manajemen file lainnya?"
Saya ingin mengkompilasi code C++ menggunakan compiler AMD target Zen 2 dan OpenMPI terbaru. Modul apa saja yang harus saya module load secara berurutan?,"Selamat pagi dan terima kasih atas pertanyaan Anda mengenai konfigurasi kompilasi di ALELEON Supercomputer; sangat senang dapat membantu Anda.

Berdasarkan dokumen referensi, untuk mengkompilasi kode C++ dengan target AMD Zen 2 menggunakan OpenMPI terbaru (versi 5.0.8), berikut adalah langkah-langkah aktivasi modul yang harus dilakukan secara berurutan:

1. Load modul compiler C/C++/Fortran GCC versi 15.2.0 sebagai dasar kompilasi, karena OpenMPI terbaru tersedia bersama GCC ini.
   Perintah: `module load gcc/15.2.0-gcc-13.4.0-pnb`

2. Load modul OpenMPI versi 5.0.8 yang dikompilasi bersama GCC 15.2.0.
   Perintah: `module load openmpi/5.0.8-gcc-15.2.0-bip`

Setelah kedua modul tersebut dimuat, sistem sudah siap untuk melakukan kompilasi dengan flag optimasi `-march=znver2` sesuai rekomendasi arsitektur CPU AMD Zen 2 pada node ALELEON. Apakah ada hal lain yang ingin Anda tanyakan terkait setup lingkungan komputasi ini?"
"Saya mau pre-processing data GROMACS menggunakan binary gmx_mpi. Boleh tidak saya menjalankannya di Login Node? Jika boleh, apa syaratnya agar tidak di-kill admin?","Halo! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer. Senang sekali bisa membantu Anda mengenai penggunaan GROMACS di Login Node.

Berdasarkan dokumen referensi, Anda **diperbolehkan** menjalankan pre-processing data GROMACS menggunakan binary `gmx_mpi` di Login Node dengan syarat sebagai berikut:

1.  **Beban Komputasi:** Hanya boleh digunakan untuk komputasi ringan atau pre/post processing dengan beban kecil.
2.  **Tujuan Penggunaan:** Digunakan untuk menguji jalannya software sebelum disubmit ke Compute Node.
3.  **Etika Penggunaan:** Karena Login Node bersifat komunal dan memiliki alokasi terbatas, Anda harus melakukan pengujian atau komputasi secukupnya saja.

Agar tidak dihentikan oleh tim admin, perhatikan hal-hal berikut:
*   Jangan membebani Login Node dalam waktu yang lama.
*   Pastikan komputasi Anda tidak dinilai mengganggu user lainnya.

Jika Anda melanggar aturan tersebut (misalnya membebani node terlalu lama), tim admin berhak menghentikan komputasi Anda. Perlu diingat juga bahwa sistem tidak menghitung Core Hour untuk komputasi yang dilakukan di Login Node.

Apakah ada hal lain yang ingin Anda tanyakan terkait panduan ini?"
"Jika saya menjalankan batch job lalu tiba-tiba koneksi internet rumah saya mati dan laptop saya disconnect dari VPN ALELEON, apakah job saya di Slurm ikut berhenti?","Selamat pagi! Terima kasih banyak atas pertanyaan yang sangat bagus mengenai ketahanan batch job Anda di ALELEON Supercomputer.

Berdasarkan dokumen referensi, **job Anda TIDAK akan berhenti** meskipun koneksi internet rumah Anda mati atau laptop Anda terputus dari VPN ALELEON. Hal ini karena:

1.  Batch job bersifat **non-interaktif**, artinya user tidak dapat mengubah konfigurasi file saat berjalan dan sudah dititipkan sepenuhnya ke Slurm untuk dijalankan.
2.  Koneksi user **tidak mempengaruhi jalannya batch job**. Job akan terus berjalan walau koneksi user terputus atau user keluar (log out) dari ALELEON, karena job sudah diserahkan kepada sistem Slurm.

Job hanya akan berhenti secara otomatis jika komputasi selesai berjalan (exit 0), terjadi error (exit >0), atau telah menyentuh batas waktu maksimal (SBATCH time) yang Anda tentukan di submit script.

Apakah ada hal lain yang ingin Anda tanyakan terkait penggunaan Slurm di ALELEON?"
Apa bedanya Effective Core Hour dengan Actual Core Hour di dalam sistem ALELEON?,"Selamat siang! Terima kasih telah menghubungi layanan dukungan HPC Aleleon Supercomputer, saya sangat senang dapat membantu Anda memahami perbedaan metrik penggunaan sistem.

Berdasarkan dokumen referensi yang tersedia, berikut adalah perbedaan antara **Effective Core Hour** dan **Actual Core Hour**:

1.  **Definisi dan Fungsi**
    *   **Effective Core Hour Remaining**: Adalah sisa kuota core hour efektif yang menjadi basis bagi Slurm ALELEON untuk menjalankan job. Nilai ini berubah tergantung status job yang sedang berjalan.
    *   **Actual Core Hour Usage**: Adalah penggunaan core hour sesungguhnya (realtime) yang terjadi saat job berjalan dan menjadi basis perhitungan biaya penggunaan ALELEON.

2.  **Perubahan Nilai Berdasarkan Status Job**
    *   **Ketika tidak ada job yang berjalan**:
        *   Effective Core Hour Remaining sama dengan Actual Core Hour.
        *   Sausage menampilkan Effective Core Hour Remaining dan Actual Core Hour Usage sebagai nilai yang sama.
    *   **Ketika ada job yang berjalan atau tertahan**:
        *   Effective Core Hour Remaining dihitung berdasarkan Total Core Hour (yang mencakup Reserved Core Hour).
        *   Actual Core Hour Usage hanya menghitung durasi waktu yang benar-benar sudah terpakai (realtime), sehingga nilainya lebih kecil dari Total Core Hour.

3.  **Contoh Perhitungan**
    *   Jika user memiliki kuota 500 CCH dan menjalankan job dengan alokasi 32 core CPU selama 10 jam:
        *   Slurm mengalokasikan **Reserved Core Hour** sebesar 320 CCH (32 core x 10 jam).
        *   **Effective Core Hour Remaining** menjadi 180 CCH (500 - 320).
        *   Saat job berjalan 1 jam, **Actual Core Hour Usage** tercatat sebesar 32 CCH (32 core x 1 jam).
        *   Pada kondisi ini, Effective Core Hour Remaining tetap 180 CCH, sedangkan Actual Core Hour Usage bertambah seiring berjalannya waktu.

Apakah ada hal lain yang ingin Anda tanyakan mengenai penggunaan metrik Core Hour di ALELEON?"
